Active (0/1),Name *,Parent category,URL Simplifier,Root category (0/1)
1,Bloc d'alimentation,Cuisine,Bloc d'alimentation1,0
1,Chargeur PC Portable,Cuisine,Chargeur PC Portable1,0
1,Batterie PC Portable,Cuisine,Batterie PC Portable1,0
1,Afficheur Ecran,Cuisine,Afficheur Ecran1,0
1,Ventilateur,Cuisine,Ventilateur1,0
1,Graveurs et Lecteurs,Cuisine,Graveurs et Lecteurs1,0
1,Clavier PC Portable,Cuisine,Clavier PC Portable1,0
1,Pâte thermique,Cuisine,Pâte thermique1,0
1,Pc Portable,Hygiene et soin maison,Pc Portable1,0
1,PC Gamer,Hygiene et soin maison,PC Gamer1,0
1,PC Portable Pro,Hygiene et soin maison,PC Portable Pro1,0
1,Mac,Hygiene et soin maison,Mac1,0
1,UltraBook,Hygiene et soin maison,UltraBook1,0
1,Ecran Portable,Hygiene et soin maison,Ecran Portable1,0
1,PC de Bureau,Entretien du linge,PC de Bureau1,0
1,Ordinateur Gamer,Entretien du linge,Ordinateur Gamer1,0
1,PC Tout en un,Entretien du linge,PC Tout en un1,0
1,Ecran,Entretien du linge,Ecran1,0
1,iMac,Entretien du linge,iMac1,0
1,Tablettes Android,Fontaine,Tablettes Android1,0
1,Tablette Graphique,Fontaine,Tablette Graphique1,0
1,iPad,Fontaine,iPad1,0
1,Accessoires Tablette,Fontaine,Accessoires Tablette1,0
1,Serveur Rack,Réfrigérateur Professionnel,Serveur Rack1,0
1,Serveur Tour,Réfrigérateur Professionnel,Serveur Tour1,0
1,Station de Travail,Réfrigérateur Professionnel,Station de Travail1,0
1,Disque Dur,Glacière,Disque Dur1,0
1,Disque Dur Interne,Glacière,Disque Dur Interne1,0
1,Disque Dur Externe,Glacière,Disque Dur Externe1,0
1,Disque Dur SSD,Glacière,Disque Dur SSD1,0
1,Disque Dur Vidéosurveillance,Glacière,Disque Dur Vidéosurveillance1,0
1,Clé USB,Glacière,Clé USB1,0
1,Carte Mémoire,Glacière,Carte Mémoire1,0
1,CD & DVD,Glacière,CD & DVD1,0
1,Accessoires de Stockage,Glacière,Accessoires de Stockage1,0
1,Disque Dur Reconditionné,Glacière,Disque Dur Reconditionné1,0
1,Câble antivol PC,Pack Électroménager,Câble antivol PC1,0
1,Sacs & Sacoches,Pack Électroménager,Sacs & Sacoches1,0
1,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique,Pack Électroménager,Clavier & Souris & Tapis Souris Clavier Tapis de Souris Clavier & Souris Souris & Tapis Clavier - Souris - Tapis - Casque Pavé Numérique1,0
1,Souris,Pack Électroménager,Souris1,0
1,Clavier,Pack Électroménager,Clavier1,0
1,Tapis de Souris,Pack Électroménager,Tapis de Souris1,0
1,Clavier & Souris,Pack Électroménager,Clavier & Souris1,0
1,Souris & Tapis,Pack Électroménager,Souris & Tapis1,0
1,Clavier - Souris - Tapis - Casque,Pack Électroménager,Clavier - Souris - Tapis - Casque1,0
1,Pavé Numérique,Pack Électroménager,Pavé Numérique1,0
1,Webcam,Pack Électroménager,Webcam1,0
1,Visioconférence,Pack Électroménager,Visioconférence1,0
1,Haut-Parleur de Conférence,Pack Électroménager,Haut-Parleur de Conférence1,0
1,Refroidisseurs PC Portable,Pack Électroménager,Refroidisseurs PC Portable1,0
